chaine,nom film,date de diffusion,2023,nationalité2,rang de diffusion,téléspectateurs (millions),part d'audience (%)
France 2 ,ANTOINETTE DANS LES CEVENNES,2023-05-21 00:00:00,2023,FRANCE,1,5758382,"27,5"
France 2 ,BOITE NOIRE,2023-11-19 00:00:00,2023,FRANCE,1,5523346,"26,6"
France 2 ,VETOS (LES),2023-02-19 00:00:00,2023,FRANCE,1,4657500,22
France 2 ,DARONNE (LA),2023-03-19 00:00:00,2023,FRANCE,1,4197500,20
France 2 ,AVENTURES DE RABBI JACOB (LES),2023-10-22 00:00:00,2023,FRANCE,20,4054371,"17,9"
France 2 ,MOURIR PEUT ATTENDRE,2023-12-10 00:00:00,2023,GRANDE BRETAGNE / ETATS UNIS,1,3936853,"21,2"
France 2 ,BAC NORD,2023-09-03 00:00:00,2023,FRANCE,1,3760576,"18,5"
France 2 ,FOLIE DES GRANDEURS (LA),2023-04-09 00:00:00,2023,FRANCE,20,3737500,"19,9"
France 2 ,A COUTEAUX TIRES,2023-04-02 00:00:00,2023,ETATS UNIS,2,3565000,"18,7"
France 2 ,JACK REACHER : NEVER GO BACK,2023-01-22 00:00:00,2023,ETATS UNIS,2,3507500,"16,8"
France 3,FILLE AU BRACELET (LA),2023-12-04 00:00:00,2023,FRANCE / BELGIQUE,1,2702914,"12,2"
France 3,QUI M'AIME ME SUIVE,2023-01-09 00:00:00,2023,FRANCE,1,2702500,12
France 3,ENQUETE CORSE (L'),2023-02-20 00:00:00,2023,FRANCE,10,2357500,"10,6"
France 3,MES HEROS,2023-03-27 00:00:00,2023,FRANCE,4,2242500,"9,1"
France 3,FRENCH (LA),2023-01-16 00:00:00,2023,FRANCE / BELGIQUE,3,2127500,"10,2"
France 3,VACHE (LA),2023-12-11 00:00:00,2023,FRANCE / MAROC,3,2115324,10
France 3,SOUPE AUX CHOUX (LA),2023-10-23 00:00:00,2023,FRANCE,24,2115324,"8,8"
France 3,MUR DE L'ATLANTIQUE (LE),2023-06-05 00:00:00,2023,FRANCE,23,2073000,10
France 3,FILS DE JEAN (LE),2023-02-27 00:00:00,2023,FRANCE / CANADA,2,2070000,"9,3"
France 3,GLOIRE DE MON PERE (LA),2023-12-28 00:00:00,2023,FRANCE,26,2056565,"10,2"
France  5,ADIEU POULET,2023-10-20 00:00:00,2023,FRANCE,22,1527734,"6,8"
France 5,HORLOGER DE SAINT-PAUL (L'),2023-02-03 00:00:00,2023,FRANCE,15,1265000,"6,3"
France 5,RIENS DU TOUT,2023-01-06 00:00:00,2023,FRANCE,7,1150000,"5,4"
France 5,CERCLE ROUGE (LE),2023-06-30 00:00:00,2023,FRANCE,21,1145000,7
France 5,GUERRE DES POLICES (LA),2023-07-21 00:00:00,2023,FRANCE,11,1126000,7
France 5,SENTIMENTS (LES),2023-01-27 00:00:00,2023,FRANCE,8,1092500,"5,4"
France 5,LISTE DE SCHINDLER (LA),2023-09-22 00:00:00,2023,ETATS UNIS,9,1057662,"6,5"
France 5,GLORIA MUNDI,2023-03-10 00:00:00,2023,FRANCE / ITALIE,1,1035000,"5,2"
France 5,DANSE AVEC LES LOUPS,2023-12-22 00:00:00,2023,ETATS UNIS,14,998903,"5,5"
France 5,GARDE A VUE,2023-11-17 00:00:00,2023,FRANCE,20,998903,"4,6"
TF1,POURRIS GATES,2023-07-30 00:00:00,2023,FRANCE,1,5773000,"31,6"
TF1,HOMME EN COLERE - GUY RITCHIE - (UN),2023-11-12 00:00:00,2023,GRANDE BRETAGNE,1,5523346,"26,3"
TF1,ALIBI.COM,2023-02-12 00:00:00,2023,FRANCE,4,5290000,"25,3"
TF1,APPEL DE LA FORET (L'),2023-01-01 00:00:00,2023,ETATS UNIS,1,5232500,"24,4"
TF1,ASTERIX ET OBELIX : MISSION CLEOPATRE,2023-01-30 00:00:00,2023,FRANCE,9,5232500,"24,1"
TF1,ALINE,2023-11-05 00:00:00,2023,FRANCE / CANADA,1,5053274,"25,2"
TF1,TUCHE 4 (LES),2023-12-03 00:00:00,2023,FRANCE,1,4876997,"22,5"
TF1,INTOUCHABLES,2023-09-03 00:00:00,2023,FRANCE,4,4700720,"24,9"
TF1,BELLE FILLE,2023-03-05 00:00:00,2023,FRANCE,1,4657500,"23,4"
TF1,EN EAUX TROUBLES,2023-08-06 00:00:00,2023,ETATS UNIS,3,4583202,"25,6"
TMC,7EME COMPAGNIE AU CLAIR DE LUNE (LA),2023-02-01 00:00:00,2023,FRANCE,20,1380000,"6,9"
TMC,MAIS OU EST DONC PASSEE LA 7EME COMPAGNIE ?,2023-01-18 00:00:00,2023,FRANCE / ITALIE,20,1380000,"6,9"
TMC,ON A RETROUVE LA 7EME COMPAGNIE,2023-01-25 00:00:00,2023,FRANCE,20,1380000,"6,7"
TMC,CAPTAIN AMERICA : FIRST AVENGER,2023-02-20 00:00:00,2023,ETATS UNIS,9,1322500,"6,7"
TMC,OPERATION CORNED BEEF (L'),2023-08-03 00:00:00,2023,FRANCE,26,1292698,"7,5"
TMC,AVENGERS : ENDGAME,2023-04-24 00:00:00,2023,ETATS UNIS,2,1265000,"7,2"
TMC,IRON MAN 3,2023-04-17 00:00:00,2023,ETATS UNIS,7,1265000,"6,9"
TMC,INDEPENDENCE DAY,2023-05-01 00:00:00,2023,ETATS UNIS,20,1233939,"6,9"
TMC,THOR : LE MONDE DES TENEBRES,2023-10-30 00:00:00,2023,GRANDE BRETAGNE / ETATS UNIS,7,1233939,6
TMC,JOUR D'APRES (LE),2023-02-09 00:00:00,2023,ETATS UNIS,13,1207500,"7,1"
TFX,POURRIS GATES,2023-12-26 00:00:00,2023,FRANCE,3,1233939,"5,9"
TFX,THE MASK,2023-05-03 00:00:00,2023,ETATS UNIS,16,1175180,"5,5"
TFX,SALES GOSSES,2023-08-08 00:00:00,2023,FRANCE,3,1116421,"6,2"
TFX,JURASSIC WORLD,2023-04-30 00:00:00,2023,ETATS UNIS,6,977500,5
TFX,RETOUR DU JEDI (LE),2023-11-23 00:00:00,2023,ETATS UNIS,16,940144,5
