,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France 2,55,62,62,66,55,71,59,74,68,71,58,52,53,59,62,59,54,66,55,53,62,45,42,48,48,28,28,19,25,44,36,39,21,23
France 3,77,75,77,75,69,76,78,75,72,60,56,70,68,65,65,59,63,64,77,79,86,67,80,64,58,51,56,29,40,23,31,37,41,26
France 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,24,40,49,49,47,49,52,51,50,56,55,51,50,40,26,5,10,2
France 5,-,-,-,-,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,2,2,1,0,0,1,,8,5,10,28,19,8,11,11
France Ô3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,nd,18,18,15,20,15,11,12,5,,,
TF1,42,41,46,65,67,70,66,77,76,76,76,77,76,76,74,80,74,77,71,77,61,61,59,62,65,68,80,69,63,58,77,61,58,58
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,56,66,63,73,76,77,71,74,56,69,69,67,57,46,55,58,64,64
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,61,54,64,64,69,74,78,73,67,62,62,50,52,57,33,48,62,63
TF1 Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,57,60,55,60,59,59,55,45,55,59,57
M6,55,50,62,67,72,71,73,73,76,70,64,62,62,64,62,65,55,57,53,47,56,40,43,39,52,52,38,44,39,36,44,45,42,43
W9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,33,38,41,41,58,55,65,60,63,58,55,56,56,56,62,58,55,63
6ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,56,65,60,61,65,56,57,66,64,56,68
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,7,19,16,24,34,46,40,36,27,29,19,23,32,31,38,42
Canal+,143,156,169,159,163,168,163,155,160,151,150,160,134,131,147,142,152,147,155,125,130,128,112,133,117,130,114,91,96,119,142,89,74,82
C8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,35,21,32,45,58,50,63,71,71,68,62,64,57,46,43,57,53,47
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,25,18,32,57,21,16,19,20,20,20,19,24,23,21,13,25
NRJ12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,31,83,77,65,60,64,42,35,53,52,41,33,32,28,30,22,22
Chérie 25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,15,56,56,57,48,43,41,42,27,27
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,55,75,69,22,19,19,9,1,,,
Arte,-,0,4,25,31,42,50,60,58,53,54,54,58,58,78,62,79,87,80,85,75,80,99,102,92,94,96,84,101,103,103,105,96,101
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,1,4,2,1,1,1,4,2,3,1,4,,1,5,,
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,9,7,,,,2,9,15,15,10
sous-total chaînes nationales publiques5,132,137,143,166,156,201,205,224,202,185,167,178,180,183,209,191,222,255,259,265,263,241,266,276,266,243,257,196,231,240,213,195,176,163
sous-total chaînes nationales privées gratuites6,163,160,124,132,139,141,139,150,152,146,140,139,138,140,136,240,306,319,398,417,425,434,448,561,587,616,545,540,487,456,476,491,472,485
sous-total chaînes nationales payantes7,143,156,169,159,163,168,163,155,160,151,150,160,134,131,147,142,152,147,155,125,130,128,112,133,117,130,114,91,96,119,142,89,74,82
