,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France 2,102,101,93,99,110,108,111,94,102,86,76,77,74,86,87,82,81,76,74,108,94,94,84,83,84,78,67,68,56,60,125,75,65,53
France 3,97,97,96,94,91,102,108,94,103,114,116,110,111,116,158,151,136,154,138,133,123,135,123,110,106,110,109,95,67,69,119,102,79,69
France 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,39,43,52,59,52,61,64,61,64,66,64,76,58,52,44,14,14,14
France 5,-,-,-,-,0,0,0,0,0,0,19,4,7,6,4,1,4,0,4,5,6,7,2,1,4,2,16,16,19,36,45,32,20,25
France Ô3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,nd,23,21,18,20,23,21,16,7,,,
TF1,113,114,105,95,86,87,90,100,102,102,94,93,91,91,91,83,83,96,82,81,72,60,57,62,45,54,51,51,57,48,67,45,44,58
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,48,40,53,60,48,63,65,62,59,55,56,55,51,47,51,57,56,58
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,50,60,59,70,56,53,66,52,52,46,39,45,44,47,47,48,58,61
TF1 Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,65,57,39,42,49,47,48,43,52,51,44
M6,97,93,85,79,77,80,78,79,78,78,75,69,70,70,72,76,61,63,59,50,54,45,45,44,56,50,37,38,38,35,50,45,42,47
W9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,33,38,46,41,59,60,63,56,49,50,45,41,46,50,59,56,58,57
6ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,54,37,37,35,39,44,46,47,54,51,50
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,8,19,26,28,34,34,38,35,22,28,28,36,35,32,47,42
Canal+,219,224,191,196,194,208,211,202,203,211,225,208,194,189,202,197,217,214,209,204,191,179,197,194,191,188,194,198,217,217,234,199,185,222
C8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,51,88,87,83,63,65,61,56,67,67,62,65,69,57,73,85,86,71
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,14,21,38,21,25,23,24,24,22,22,29,24,28,21,29
NRJ12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,15,45,55,50,53,53,39,30,46,43,45,39,33,30,32,26,22
Chérie 25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,18,60,68,62,52,52,53,53,33,31
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,,1,1,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,28,46,61,32,32,34,22,1,,,
Arte,-,1,13,48,78,77,109,90,90,90,96,99,99,83,67,92,93,85,116,100,120,120,102,124,142,130,144,139,170,141,150,140,141,133
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,5,2,4,6,4,9,11,6,3,6,4,,5,8,5,3
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,3,2,2,1,1,3,7,17,17,10
sous-total chaînes nationales publiques5,199,199,202,241,280,326,357,294,342,339,334,289,291,291,315,351,348,356,386,400,395,413,372,393,425,398,417,407,388,361,470,367,323,295
sous-total chaînes nationales privées gratuites6,308,312,226,174,163,167,168,179,180,180,169,162,161,161,163,314,308,369,392,430,393,407,409,476,475,520,452,483,468,470,486,510,474,450
sous-total chaînes nationales payantes7,219,224,191,196,194,208,211,202,203,211,225,208,194,189,202,197,217,214,209,204,191,179,197,194,191,188,194,198,217,217,234,199,185,222

