,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France 2,182,194,187,185,185,190,180,197,201,197,154,163,142,158,164,158,152,163,143,181,169,161,141,150,153,130,99,93,98,119,176,127,92,91
France 3,193,191,191,189,192,205,209,194,207,212,201,201,206,207,242,232,230,242,244,242,241,229,224,196,181,185,178,149,128,106,153,150,132,112
France 4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,81,99,114,124,117,125,147,138,149,150,145,153,130,115,91,24,28,22
France 5,-,-,-,-,0,0,0,0,0,0,19,8,9,8,9,1,4,0,4,9,11,11,3,3,6,2,27,24,31,71,68,52,35,38
France Ô3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,nd,50,50,50,51,51,46,34,14,,,
TF1,169,170,170,170,170,170,170,188,190,192,192,189,191,191,189,191,181,190,175,185,145,138,132,142,131,133,145,133,139,115,162,123,115,130
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112,115,123,137,160,148,153,156,153,128,138,138,134,124,111,122,142,146,147
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,121,132,142,157,154,153,168,151,145,127,119,109,116,122,103,112,136,136
TF1 Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,141,130,110,121,121,130,121,105,124,130,122
M6,191,187,186,191,191,189,189,190,190,185,175,161,159,170,165,173,141,147,137,123,134,103,103,104,130,115,91,93,91,85,107,107,97,102
W9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,76,90,99,99,134,128,143,131,126,121,116,119,117,120,131,123,127,130
6ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,125,120,112,108,124,123,117,129,140,126,141
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,8,21,49,50,64,79,99,100,102,72,75,63,73,85,84,109,104
Canal+,428,439,445,451,451,449,449,433,448,451,459,446,404,400,436,436,462,454,438,406,375,367,370,378,365,380,393,357,393,451,470,416,349,367
C8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,95,112,127,129,125,123,134,155,160,158,145,141,136,112,121,152,148,131
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,39,39,63,110,50,52,52,51,49,52,49,61,55,57,43,61
NRJ12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,52,142,155,142,137,149,97,77,119,118,114,90,80,69,71,57,53
Chérie 25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,41,46,140,148,143,116,107,107,107,74,69
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,92,137,153,80,85,76,42,2,,,
Arte,-,1,44,178,243,238,263,263,268,268,259,284,267,269,258,269,318,316,353,330,375,383,378,428,425,399,461,433,469,433,453,449,425,384
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,9,8,9,9,9,15,15,10,9,9,8,,7,15,5,3
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,15,12,5,4,1,5,17,36,35,26
sous-total chaînes nationales publiques5,375,386,422,550,622,684,703,693,727,727,659,654,624,642,671,707,782,814,858,876,906,903,885,949,958,909,953,887,884,846,925,809,713,648
sous-total chaînes nationales privées gratuites6,548,541,411,361,361,359,359,378,380,377,367,350,350,361,354,640,699,777,905,991,956,978,991,1 221,1 250,1 340,1 199,1 220,1 140,1 077,1 110,1 158,1 109,1 090
sous-total chaînes nationales payantes7,428,439,445,451,451,449,449,433,448,451,459,446,404,400,436,436,462,454,438,406,375,367,370,378,365,380,393,357,393,451,470,416,349,367
