RS2C_RECODE_AG_R,FORMAT3_LR3_FORMAT3_3_R,Frequency
15-17 ans,D'un format court (Entre 5 et 20 minutes),33
15-17 ans,D'un format long (Plus de 20 minutes),9
15-17 ans,D'un format très court (moins de 5 minutes),27
18-24 ans,D'un format court (Entre 5 et 20 minutes),85
18-24 ans,D'un format long (Plus de 20 minutes),35
18-24 ans,D'un format très court (moins de 5 minutes),41
25-34 ans,D'un format court (Entre 5 et 20 minutes),115
25-34 ans,D'un format long (Plus de 20 minutes),53
25-34 ans,D'un format très court (moins de 5 minutes),36
35-44 ans,D'un format court (Entre 5 et 20 minutes),126
35-44 ans,D'un format long (Plus de 20 minutes),70
35-44 ans,D'un format très court (moins de 5 minutes),43
45-59 ans,D'un format court (Entre 5 et 20 minutes),205
45-59 ans,D'un format long (Plus de 20 minutes),128
45-59 ans,D'un format très court (moins de 5 minutes),75
60-69 ans,D'un format court (Entre 5 et 20 minutes),89
60-69 ans,D'un format long (Plus de 20 minutes),63
60-69 ans,D'un format très court (moins de 5 minutes),43
70 ans et +,D'un format court (Entre 5 et 20 minutes),69
70 ans et +,D'un format long (Plus de 20 minutes),55
70 ans et +,D'un format très court (moins de 5 minutes),28
