Année,films,fictions TV,jeux,variétés,journaux télévisés,magazines et documentaires,sport,émissions jeunesse,publicité,autres
1998,8,26,8,5,14,14,6,5,10,4
1999,8,27,8,5,14,14,6,5,10,4
2000,7,25,7,5,14,14,8,5,11,4
2001,7,25,7,5,14,14,9,5,11,4
2002,6,24,7,4,14,13,11,5,11,5
2003,6,25,7,4,14,13,11,5,10,5
2004,6,25,10,4,15,13,11,5,10,1
2005,6,25,11,4,15,14,11,4,10,1
2006,6,25,11,4,15,14,11,4,10,1
2007,6,25,11,4,15,14,11,4,10,1
2008,6,25,11,4,15,14,11,4,10,1
2009,6,25,10,4,14,14,11,4,10,1
2010,5,23,11,4,15,15,11,4,10,1
2011,5,27,10,4,14,13,10,3,11,2
2012,5,26,10,4,14,13,10,3,11,2
2013,5,25,10,4,14,13,10,3,11,2
2014,6,25,10,4,14,13,10,3,11,2
2015,6,25,10,4,14,13,10,3,11,2
2016,6,24,10,4,14,13,10,3,11,2
2017,6,23,10,4,13,12,10,3,11,3
2018,7,22,10,4,13,12,10,3,11,3
2019,7,21,9,4,12,11,10,3,11,3
2020,7,21,9,4,12,11,10,3,11,3
2021,7,21,9,4,12,11,10,3,11,3
2022,6,21,9,4,12,11,10,3,11,3
2023,6,21,9,4,12,11,9,3,11,3
