,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
0,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par mois,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
2,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
3,35-44 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
4,70 ans et +,Jamais,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
5,60-69 ans,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
6,70 ans et +,Jamais,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
7,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
8,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
9,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
10,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
11,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
12,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
13,70 ans et +,Jamais,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
14,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
15,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
16,70 ans et +,Jamais,Au moins une fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
17,60-69 ans,Jamais,Plusieurs fois par jour,Jamais,,,,,,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
18,60-69 ans,Jamais,Moins souvent,Moins souvent,,,,,,
19,70 ans et +,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,,,,,,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
